class_name,order_name,family,genus,species,common_name,tsn_id,iucn_id,wi_taxon_guid
,,,,,No Animal,1,1,f1856211-cfb7-4a5b-9158-c0f72fd09ee6
,,,,,Vehicle,12,12,1a6d048a-28da-45bb-845d-a14cc5b7d61a
,,,,,Bicycle,13,13,c491e45f-4440-4bac-8013-7037262df4ea
Aves,,,,,Unknown Bird,10,10,b1352069-a39c-4a84-a949-60044271c0c1
Aves,,,,,Other Bird species,63,63,b1352069-a39c-4a84-a949-60044271c0c1
Aves,,,,,Unknown Raptor,86,86,b1352069-a39c-4a84-a949-60044271c0c1
Aves,Accipitriformes,Accipitridae,Accipiter,fasciatus,Brown Goshawk,175319,22695527,643a64bd-cb3a-4363-b8b7-9d59b1dca2db
Aves,Accipitriformes,Accipitridae,Aegypius,monachus,Cinereous Vulture,175494,22695231,05714dd8-6161-4678-a44b-e191af489612
Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden Eagle,175407,9990012,cf158740-2d43-4b5e-80c3-c710874a888b
Aves,Accipitriformes,Accipitridae,Buteo,hemilasius,Upland Buzzard,175385,22695967,b0c9f369-f512-4603-a1a6-74a4762aa129
Aves,Accipitriformes,Accipitridae,Buteogallus,anthracinus,Common Black Hawk,175402,22735514,aa191c53-bf22-47d7-bad0-6bb76f43f934
Aves,Accipitriformes,Accipitridae,Buteogallus,urubitinga,Great Black Hawk,175405,22695827,ed449f52-bc93-4502-a035-ed3c19927cf0
Aves,Accipitriformes,Accipitridae,Gyps,himalayensis,Himalayan Griffon,175488,22695215,087b3cd6-6369-4a17-95e9-18f68a083745
Aves,Accipitriformes,Accipitridae,Hamirostra,melanosternon,Black-breasted Buzzard,175467,22695014,0b8614d8-4a7c-4e17-86b1-cda5c89cae54
Aves,Accipitriformes,Accipitridae,Milvus,migrans,Black Kite,175469,22734972,b1d32bb4-5b36-4c52-99b7-90647d79e7ca
Aves,Anseriformes,Anatidae,Branta,canadensis,Canada Goose,174999,22679935,427cd520-9264-420e-b1d1-6c9e6495b461
Aves,Anseriformes,Anatidae,Cairina,moschata,Muscovy Duck,175246,22680061,2a54b5b4-1d76-4e1d-97ad-d5cf459d53b3
Aves,Aves,Tinamiformes,TINAMIDAE,major,Great Tinamou,174401,22678148,75760d64-d7a3-496e-b338-e14d97383ecf
Aves,Caprmulgiformes,Aegothelidae,Aegotheles,cristatus,Australian Owlet-nightjar,555504,22689555,fc78c2dd-76d5-404b-b7c8-90933dc22874
Aves,Caprmulgiformes,Caprimulgidae,Eurostopodus,argus,Spotted Nightjar,555531,22689656,19ed173f-a402-4e87-8b86-0f8e4a32ab1f
Aves,Caprmulgiformes,Podargidae,Podargus,strigoides,Tawny Frogmouth,555510,22689580,0193735f-7788-4608-af4c-9aa6cca9e2e7
Aves,Cathartiformes,Cathartidae,Cathartes,aura,Turkey Vulture,175265,22697627,2573d6c8-6924-4fca-8a1f-cdb00b1cc859
Aves,Cathartiformes,Cathartidae,Coragyps,atratus,Black Vulture,175272,22697624,e19df117-0863-4151-a078-276dba51bdef
Aves,Charadriiformes,Charadriidae,Vanellus,indicus,Red-wattled Lapwing,176489,22694013,2d3d0e66-8be4-4d10-9774-e2837b358353
Aves,Charadriiformes,Scolopacidae,NUMENIUS,americanus,Long-billed Curlew,176593,9990007,d6f7b6d2-8aac-4093-9b23-edf415457027
Aves,Charadriiformes,Turnicidae,Turnix,velox,Little Button-quail,176166,22680599,1cd47579-c651-41b6-8020-d6d57c547e0c
Aves,Ciconiiformes,Ciconiidae,Ciconia,ciconia,White Stork,174907,22697691,667fb393-8c7e-4d2b-8149-e1679d1a1195
Aves,Ciconiiformes,Ciconiidae,Ciconia,stormi,Storm's Stork,559262,22697685,86257986-b075-4aaa-8749-0e787fc6a13a
Aves,Columbiformes,Columbidae,,,Unknown Ground-Dove,79,79,a92f5ecb-13d3-44b1-837f-d085d2e2ea19
Aves,Columbiformes,Columbidae,Claravis,mondetoura,Maroon-chested Ground-Dove,177243,22690814,0e9a1acc-07a2-4b26-8a17-546992d09d6f
Aves,Columbiformes,Columbidae,Claravis,pretiosa,Blue Ground-Dove,177244,22690809,c92cbb16-ea5d-42d7-85e6-ee9104c77736
Aves,Columbiformes,Columbidae,Columbina,minuta,Plain-breasted Ground-Dove,177159,22690779,c61962ee-d112-42d6-9eaf-640fe97bff57
Aves,Columbiformes,Columbidae,Columbina,talpacoti,Ruddy Ground-Dove,177156,22690784,0cf1383a-38fc-421a-a769-3e47494d5edc
Aves,Columbiformes,Columbidae,Geopelia,cuneata,Diamond Dove,177194,22690705,5b81a421-9562-4112-a27e-95262f83c80d
Aves,Columbiformes,Columbidae,Geopelia,striata,Peaceful Dove,177196,22690708,53897655-c223-4c37-b56c-57ac4a0193d1
Aves,Columbiformes,Columbidae,Geotrygon,montana,Ruddy Quail-dove,177180,22690966,518013b1-6f89-4679-8523-73cb73cb2f1c
Aves,Columbiformes,Columbidae,Geotrygon,violacea,Violaceous Quail-Dove,177192,22690962,8c315b1d-59de-4be2-a00e-ebc63d158e7d
Aves,Columbiformes,Columbidae,Leptotila,plumbeiceps,Gray-headed Dove,177175,22690862,c5f50b35-3352-4d8a-840c-20b93d65cfb0
Aves,Columbiformes,Columbidae,Leptotila,rufaxilla,Grey-fronted Dove,177176,22690877,2709bc7f-b449-49a3-b857-9613fee1cf76
Aves,Columbiformes,Columbidae,Leptotila,verreauxi,White-tipped Dove,177166,22690854,fc3d18ab-f1f6-4522-94ee-6b89c412820d
Aves,Columbiformes,Columbidae,Ocyphaps,lophotes,Crested Pigeon,177238,22690676,a93ea241-89d8-4e5f-b7e1-9f58ad751d37
Aves,Columbiformes,Columbidae,Patagioenas,,Short-billed Pigeon,676905,22690290,245d7063-837e-4b44-a0be-c543acfada9c
Aves,Columbiformes,Columbidae,Patagioenas,cayennensis,Pale-vented Pigeon,676897,22690290,2004c0b5-c89a-48a6-a9b8-7361ce5b2ccc
Aves,Columbiformes,Columbidae,Spilopelia,chinensis,Eastern Spotted Dove,177134,60482887,2c533162-833a-4c0c-94be-7ba10ef92b97
Aves,Coraciiformes,Meropidae,Merops,ornatus,Rainbow Bee-eater,554660,22683753,f143e28a-7db3-406b-a5be-d97114da0df0
Aves,Coraciiformes,Momotidae,Baryphthengus,martii,Rufous Motmot,554540,22682995,bbbbaa97-e40a-42ba-867a-64152c66b6d0
Aves,Coraciiformes,Momotidae,Electron,platyrhynchum,Broad-billed Motmot,554537,22682986,e0057464-1565-4916-9e59-74360335f2f7
Aves,Cuculiformes,Cuculidae,Carpococcyx,renauldi,Coral-billed Ground Cuckoo,554736,22684138,d90d4824-e961-4b30-af32-924e5f613089
Aves,Cuculiformes,Cuculidae,Centropus,phasianinus,Coucal Pheasant,554752,22684209,d68ed01f-2668-428c-9358-1dc576891256
Aves,Cuculiformes,Cuculidae,Chalcites,basalis,Horsfield's Bronze-cuckoo,0,22683982,d9b6df1e-e3bb-4ff6-ac05-ce2376238c97
Aves,Falconiformes,,,,Raptor species,62,62,22b90177-18fb-4063-9e8a-e2e202c45fdd
Aves,Falconiformes,Falconidae,Falco,berigora,Brown Falcon,175630,22696354,39217044-41ce-4455-86ff-8f94a4f02d44
Aves,Falconiformes,Falconidae,Falco,cenchroides,Nankeen Kestrel,175632,22696391,8234791c-9672-4011-82d9-47e7288a444f
Aves,Galliformes,Cracidae,Aburria,aburri,Wattled Guan,175744,22678440,8f6d3436-93ee-465c-96b0-e517d750a244
Aves,Galliformes,Cracidae,Chamaepetes,goudotii,Sickle-winged Guan,175748,22678446,a572793a-efe1-4ae5-8005-a33f8850ba30
Aves,Galliformes,Cracidae,Chamaepetes,unicolor,Black Guan,175749,22678443,f7d40bfe-b304-4831-bf94-dd0be84cd020
Aves,Galliformes,Cracidae,Crax,alberti,Blue-billed Curassow,175757,22678525,8af3edc1-2258-43f0-a31b-bd0387c3d710
Aves,Galliformes,Cracidae,Crax,alector,Black Curassow,175758,22678534,17e2f274-23bb-4a14-a086-eae512e3038a
